variable,count,mean,std,min,p05,q1,median,q3,p95,max,missing_count,missing_rate,skewness
age_at_admission,2589.0,60.305909617612976,15.462095543694483,18.0,32.0,50.0,63.0,72.0,82.0,98.0,0,0.0,-0.47279371577327556
imd_decile,2441.0,5.073336602212208,2.4186666342818937,1.0,2.0,3.0,5.0,7.0,10.0,10.0,148,0.05716492854383932,0.33766482830279193
days_from_admission_to_first_culture,2589.0,17.021629972962533,20.65880538283923,2.0,2.0,6.0,12.0,21.0,42.0,282.0,0,0.0,4.877776851726546
surgery_length,2589.0,3.582303334620831,3.191297281568315,0.0,0.25,1.1166666666666667,2.8333333333333335,5.033333333333333,9.926666666666666,29.33333333333333,0,0.0,1.6465879483314554
min_days_from_surgery_to_infection,2589.0,15.135573580533025,16.342161241139102,0.0,2.0,5.0,11.0,20.0,39.59999999999991,191.0,0,0.0,3.771443612930386
temp,2146.0,36.7841985008853684,0.4856360409869388,35.0,36.1,36.5,36.7,37.0,37.7,39.5,443,0.17110853611432986,1.04850726661838
crp,1841.0,130.32667028788703,104.33632058753051,0.2,6.9,43.4,107.2,196.0,317.3,567.2,748,0.28891463885670143,0.9342413962084477
