model,train_roc_auc_mean,roc_auc_mean,train_average_precision_mean,average_precision_mean,train_neg_brier_score_mean,brier_score_mean,train_roc_auc_std,roc_auc_std,train_average_precision_std,average_precision_std,train_neg_brier_score_std,brier_score_std
Decision Tree,1.0,0.5780327842494112,1.0,0.39372068085527817,0.0,0.3854150940439573,0.0,0.025309071821734898,0.0,0.018361529901265754,0.0,0.0240532883648942
Dummy Classifier,0.5,0.5,0.34732280155051093,0.34732401176612804,0.22668964497908983,0.22669029501332022,0.0,0.0,0.00018739839086628722,0.0007480745862828384,5.7196406406043055e-05,0.0002281906077864569
K-Nearest Neighbors,0.7882915725697622,0.5600508195169098,0.6171441566409418,0.38719646313251826,0.1704931373136677,0.2551226694962683,0.00867329065899879,0.025527330925676345,0.011555091350740728,0.016746952867267094,0.003007841120586856,0.008785188917297317
Logistic Regression Elastic Net,0.7707782051706776,0.7359564996759718,0.6426362176301076,0.5977579020436266,0.17995379386197544,0.19159712518060726,0.007542183051022024,0.0324790913896529,0.00750783745380528,0.031855589252141145,0.0024834622087109583,0.00962434704795818
Logistic Regression L1,0.770441011299777,0.7367574322733967,0.642611443109739,0.5998301699995079,0.18005847278083859,0.1912568009290787,0.007698509815361148,0.03201706268569073,0.007621898863938592,0.03140424987909512,0.002488304763837124,0.009542656113394386
Logistic Regression L2,0.7709989589817638,0.735515512463812,0.6425430016925192,0.5969358192361746,0.1799001255701002,0.19187368744649866,0.007516119256275264,0.03278734501663957,0.007585341003716466,0.03175793653748854,0.0024854789194170323,0.009728635239263636
Random Forest,1.0,0.696934008851935,1.0,0.5464827639497705,0.028390222528391997,0.20193019575626922,5.551115123125783e-17,0.030033541574659473,1.1102230246251565e-16,0.03717022228293577,0.00032391820003056635,0.006266874804298157
Support Vector Machine,0.9223258302917612,0.6922828263719729,0.8701574392002893,0.539893486696891,0.1374275951813758,0.2034456471150931,0.002621439788473507,0.025751283665300502,0.006430294884873129,0.026256766206167025,0.002687565314098821,0.005819828232375009
XGBoost,1.0,0.6657488672687653,1.0,0.513893164638542,0.008733429573476314,0.24049647748470307,0.0,0.029369172603694215,0.0,0.040469879810301555,0.0013076861937782764,0.013360691207018596
