comorbidity,snomed_code
malignancy,93152000
malignancy,93144003
malignancy,93145002
malignancy,93146001
malignancy,188648000
malignancy,188645002
malignancy,188649008
malignancy,93150008
malignancy,109841003
malignancy,118607005
malignancy,109976000
malignancy,188725004
malignancy,122951000119108
malignancy,93169003
malignancy,188498009
malignancy,188487008
malignancy,188502002
malignancy,188505000
malignancy,188501009
malignancy,188503007
malignancy,188500005
malignancy,188504001
malignancy,188507008
malignancy,188506004
malignancy,118612006
malignancy,93190006
malignancy,93182006
malignancy,93183001
malignancy,93184007
malignancy,93185008
malignancy,93186009
malignancy,93187000
malignancy,93188005
malignancy,93189002
malignancy,109980005
malignancy,118600007
malignancy,188676008
malignancy,93199007
malignancy,93191005
malignancy,93192003
malignancy,93193008
malignancy,93194002
malignancy,93195001
malignancy,93196000
malignancy,93197009
malignancy,93198004
malignancy,118615008
malignancy,93200005
malignancy,93201009
malignancy,93202002
malignancy,93203007
malignancy,93204001
malignancy,93205000
malignancy,188032002
malignancy,188030005
malignancy,269581007
malignancy,188044004
malignancy,93655004
malignancy,93215006
malignancy,93224002
malignancy,93225001
malignancy,93640008
malignancy,93641007
malignancy,93643005
malignancy,93651008
malignancy,93653006
malignancy,269579005
malignancy,269580008
malignancy,109383000
malignancy,254645002
malignancy,188366002
malignancy,443488001
malignancy,188242006
malignancy,187833006
malignancy,188156001
malignancy,187900002
malignancy,188280007
malignancy,188015001
malignancy,187999008
malignancy,188019007
malignancy,188009001
malignancy,187991006
malignancy,188189001
malignancy,448675008
malignancy,188261005
malignancy,188191009
malignancy,188241004
malignancy,271323007
malignancy,93870000
malignancy,187767006
malignancy,430621000
malignancy,187828007
malignancy,188147009
malignancy,188163001
malignancy,187906008
malignancy,188256008
malignancy,187952001
malignancy,188326001
malignancy,188327005
malignancy,188325002
malignancy,188321006
malignancy,188322004
malignancy,188324003
malignancy,188339002
malignancy,188243001
malignancy,187760008
malignancy,443679004
malignancy,188361007
malignancy,187637005
malignancy,188247000
malignancy,188157005
malignancy,188180002
malignancy,188478004
malignancy,254980001
malignancy,363406005
malignancy,255077007
malignancy,254611009
malignancy,255056009
malignancy,363357005
malignancy,187653008
malignancy,363504005
malignancy,269475001
malignancy,187752007
malignancy,187692001
malignancy,254969001
malignancy,363505006
malignancy,363418001
malignancy,363484005
malignancy,187801002
malignancy,255072001
malignancy,363509000
malignancy,302816009
malignancy,363432004
malignancy,255052006
malignancy,363503004
malignancy,363438000
malignancy,443487006
malignancy,441559006
malignancy,447100004
malignancy,116691000119101
malignancy,110002002
malignancy,397009000
malignancy,188669003
malignancy,188668006
malignancy,421418009
malignancy,188754005
malignancy,94148006
malignancy,109378008
malignancy,109853004
malignancy,188744006
malignancy,109989006
malignancy,94704006
malignancy,118618005
malignancy,94715001
malignancy,94707004
malignancy,94708009
malignancy,94709001
malignancy,94710006
malignancy,94711005
malignancy,94712003
malignancy,188627002
malignancy,94714002
malignancy,445738007
malignancy,188732008
malignancy,122901000119109
malignancy,94716000
malignancy,94719007
malignancy,94718004
malignancy,126675008
malignancy,363227003
malignancy,371481006
malignancy,127016006
malignancy,126920004
malignancy,387837005
malignancy,127230005
malignancy,269476000
malignancy,95194004
malignancy,95186006
malignancy,95187002
malignancy,95188007
malignancy,188612002
malignancy,188609000
malignancy,188613007
malignancy,95192000
malignancy,95193005
malignancy,118601006
malignancy,447989004
malignancy,109267002
malignancy,109847004
malignancy,109879008
malignancy,109347009
malignancy,109348004
malignancy,109912006
malignancy,109911004
malignancy,109371002
malignancy,109838007
malignancy,109835005
malignancy,109948008
malignancy,109886000
malignancy,109878000
malignancy,109830000
malignancy,109384006
malignancy,109368005
malignancy,109369002
malignancy,109822001
malignancy,109833003
malignancy,109824000
malignancy,109887009
malignancy,109874003
malignancy,109367000
malignancy,109832008
malignancy,109831001
malignancy,109848009
malignancy,109919002
malignancy,109839004
malignancy,109851002
malignancy,109837002
malignancy,109349007
malignancy,109836006
malignancy,109823006
malignancy,110013004
malignancy,109885001
malignancy,109977009
malignancy,95210003
malignancy,122981000119101
malignancy,95209008
malignancy,415111003
malignancy,415112005
malignancy,109992005
malignancy,307649006
malignancy,404143002
malignancy,722529000
malignancy,372087000
malignancy,148911000119107
malignancy,371962007
malignancy,93659005
malignancy,371963002
malignancy,93665005
malignancy,371966005
malignancy,371967001
malignancy,93669004
malignancy,93670003
malignancy,93671004
malignancy,93672006
malignancy,371968006
malignancy,93674007
malignancy,93675008
malignancy,93676009
malignancy,93679002
malignancy,128466006
malignancy,93683002
malignancy,372092003
malignancy,353421000119109
malignancy,353501000119104
malignancy,93687001
malignancy,371970002
malignancy,93689003
malignancy,93715005
malignancy,93716006
malignancy,93717002
malignancy,371971003
malignancy,93725000
malignancy,93723007
malignancy,371975007
malignancy,93727008
malignancy,93726004
malignancy,109834009
malignancy,372137005
malignancy,373090000
malignancy,373091001
malignancy,373089009
malignancy,373088001
malignancy,93728003
malignancy,371976008
malignancy,93738008
malignancy,93740003
malignancy,93743001
malignancy,371977004
malignancy,93744007
malignancy,93745008
malignancy,93746009
malignancy,93747000
malignancy,93748005
malignancy,93749002
malignancy,371978009
malignancy,93755007
malignancy,93756008
malignancy,371980003
malignancy,109840002
malignancy,93761005
malignancy,371981004
malignancy,93764002
malignancy,93766000
malignancy,93767009
malignancy,93768004
malignancy,109876001
malignancy,93771007
malignancy,449803009
malignancy,93773005
malignancy,93775003
malignancy,93779009
malignancy,371983001
malignancy,93781006
malignancy,93783009
malignancy,371984007
malignancy,93787005
malignancy,93789008
malignancy,446189008
malignancy,371986009
malignancy,371987000
malignancy,93796005
malignancy,93797001
malignancy,93802007
malignancy,93807001
malignancy,93808006
malignancy,93809003
malignancy,372139008
malignancy,363745004
malignancy,371989002
malignancy,93816002
malignancy,93818001
malignancy,371990006
malignancy,371991005
malignancy,93824007
malignancy,372119009
malignancy,93825008
malignancy,93826009
malignancy,93829002
malignancy,93831006
malignancy,93832004
malignancy,109357005
malignancy,93835002
malignancy,93836001
malignancy,93837005
malignancy,371992003
malignancy,93839008
malignancy,447109003
malignancy,93841009
malignancy,93843007
malignancy,93844001
malignancy,93846004
malignancy,93848003
malignancy,93849006
malignancy,93850006
malignancy,93851005
malignancy,423195009
malignancy,371993008
malignancy,93854002
malignancy,109370001
malignancy,371995001
malignancy,93860002
malignancy,93861003
malignancy,93862005
malignancy,93863000
malignancy,93867004
malignancy,93868009
malignancy,371996000
malignancy,95214007
malignancy,93871001
malignancy,371997009
malignancy,93874009
malignancy,93875005
malignancy,372110008
malignancy,93876006
malignancy,371998004
malignancy,93882009
malignancy,93883004
malignancy,93884005
malignancy,93885006
malignancy,93886007
malignancy,93889000
malignancy,93890009
malignancy,93891008
malignancy,109915008
malignancy,93894000
malignancy,372112000
malignancy,371999007
malignancy,93915004
malignancy,93917007
malignancy,226521000119108
malignancy,93923002
malignancy,93928006
malignancy,93931007
malignancy,372001002
malignancy,93932000
malignancy,93933005
malignancy,93934004
malignancy,372002009
malignancy,372003004
malignancy,93939009
malignancy,93941005
malignancy,93942003
malignancy,93943008
malignancy,93944002
malignancy,93946000
malignancy,93948004
malignancy,372004005
malignancy,93951006
malignancy,372115003
malignancy,93953009
malignancy,372005006
malignancy,422736007
malignancy,109921007
malignancy,109947003
malignancy,109931000
malignancy,93961004
malignancy,93962006
malignancy,93964007
malignancy,721567004
malignancy,93966009
malignancy,93967000
malignancy,93968005
malignancy,93969002
malignancy,93970001
malignancy,93971002
malignancy,93972009
malignancy,372006007
malignancy,93974005
malignancy,93976007
malignancy,93977003
malignancy,93978008
malignancy,93980002
malignancy,93984006
malignancy,93985007
malignancy,93986008
malignancy,93987004
malignancy,93989001
malignancy,94092006
malignancy,372107001
malignancy,93994001
malignancy,372009000
malignancy,94003005
malignancy,94004004
malignancy,94006002
malignancy,94048009
malignancy,94049001
malignancy,372010005
malignancy,94050001
malignancy,94057003
malignancy,94059000
malignancy,94062002
malignancy,94063007
malignancy,372012002
malignancy,372013007
malignancy,94067008
malignancy,94068003
malignancy,94069006
malignancy,94071006
malignancy,94072004
malignancy,372014001
malignancy,94075002
malignancy,94076001
malignancy,94077005
malignancy,94078000
malignancy,94080006
malignancy,94082003
malignancy,94086000
malignancy,94087009
malignancy,372016004
malignancy,372017008
malignancy,94096009
malignancy,94098005
malignancy,94101009
malignancy,372020000
malignancy,94102002
malignancy,94103007
malignancy,94104001
malignancy,94105000
malignancy,94109006
malignancy,94111002
malignancy,94113004
malignancy,372022008
malignancy,94115006
malignancy,94116007
malignancy,372133009
malignancy,372135002
malignancy,94117003
malignancy,94118008
malignancy,372023003
malignancy,94120006
malignancy,94121005
malignancy,94122003
malignancy,94123008
malignancy,94124002
malignancy,94125001
malignancy,94126000
malignancy,372024009
malignancy,10708511000119108
malignancy,94129007
malignancy,372025005
malignancy,94132005
malignancy,94134006
malignancy,94135007
malignancy,372026006
malignancy,372027002
malignancy,372028007
malignancy,94138009
malignancy,94140004
malignancy,94143002
malignancy,94144008
malignancy,444910004
malignancy,415287001
malignancy,373168002
malignancy,95224004
malignancy,95225003
malignancy,95226002
malignancy,188492005
malignancy,188489006
malignancy,188493000
malignancy,95230004
malignancy,95231000
malignancy,446643000
malignancy,254601002
malignancy,302855005
malignancy,427056005
malignancy,188726003
malignancy,426370008
malignancy,188746008
malignancy,188736006
malignancy,425749006
malignancy,118611004
malignancy,95264000
malignancy,188632001
malignancy,188635004
malignancy,188631008
malignancy,188633006
malignancy,95260009
malignancy,188634000
malignancy,95261008
malignancy,188637007
malignancy,95263006
malignancy,277567002
malignancy,109975001
malignancy,190818004
renal_disease,698591006
renal_disease,20917003
renal_disease,197616000
renal_disease,709044004
renal_disease,431855005
renal_disease,431856006
renal_disease,433144002
renal_disease,700378005
renal_disease,700379002
renal_disease,431857002
renal_disease,433146000
renal_disease,129161000119100
renal_disease,197613008
renal_disease,28191000119109
renal_disease,197714009
renal_disease,197715005
renal_disease,197712008
renal_disease,197713003
renal_disease,195791000119101
renal_disease,90688005
renal_disease,46177005
renal_disease,8501000119104
renal_disease,194781004
renal_disease,194780003
renal_disease,49220004
renal_disease,90708001
renal_disease,285841000119104
renal_disease,77182004
renal_disease,35546006
renal_disease,80321008
renal_disease,7724006
renal_disease,42399005
renal_disease,16726004
renal_disease,737295003
diabetes_without_complication,314903002
diabetes_without_complication,420662003
diabetes_without_complication,420996007
diabetes_without_complication,72021000119109
diabetes_without_complication,1531000119102
diabetes_without_complication,73211009
diabetes_without_complication,111552007
diabetes_without_complication,420422005
diabetes_without_complication,367991000119101
diabetes_without_complication,368051000119109
diabetes_without_complication,428896009
diabetes_without_complication,422126006
diabetes_without_complication,190330002
diabetes_without_complication,190331003
diabetes_without_complication,421725003
diabetes_without_complication,421437000
diabetes_without_complication,719216001
diabetes_without_complication,26298008
diabetes_without_complication,421075007
diabetes_without_complication,421847006
diabetes_without_complication,75524006
diabetes_without_complication,190406000
diabetes_without_complication,190412005
diabetes_without_complication,46635009
diabetes_without_complication,314893005
diabetes_without_complication,190368000
diabetes_without_complication,313435000
diabetes_without_complication,44054006
diabetes_without_complication,190389009
diabetes_without_complication,313436004
diabetes_without_complication,443694000
diabetes_with_complication,50620007
diabetes_with_complication,712882000
diabetes_with_complication,712883005
diabetes_with_complication,43959009
diabetes_with_complication,421920002
diabetes_with_complication,420756003
diabetes_with_complication,771000119108
diabetes_with_complication,74627003
diabetes_with_complication,230577008
diabetes_with_complication,420868002
diabetes_with_complication,422014003
diabetes_with_complication,25093002
diabetes_with_complication,421256007
diabetes_with_complication,739681000
diabetes_with_complication,422099009
diabetes_with_complication,127013003
diabetes_with_complication,422088007
diabetes_with_complication,420683009
diabetes_with_complication,421468001
diabetes_with_complication,421326000
diabetes_with_complication,422275004
diabetes_with_complication,420825003
diabetes_with_complication,421631007
diabetes_with_complication,39058009
diabetes_with_complication,427571000
diabetes_with_complication,427027005
diabetes_with_complication,97331000119101
diabetes_with_complication,312912001
diabetes_with_complication,190410002
diabetes_with_complication,190407009
diabetes_with_complication,312903003
diabetes_with_complication,138881000119106
diabetes_with_complication,138911000119106
diabetes_with_complication,312904009
diabetes_with_complication,138891000119109
diabetes_with_complication,138921000119104
diabetes_with_complication,420918009
diabetes_with_complication,420436000
diabetes_with_complication,441628001
diabetes_with_complication,190411003
diabetes_with_complication,230572002
diabetes_with_complication,60961000119107
diabetes_with_complication,1551000119108
diabetes_with_complication,127014009
diabetes_with_complication,421365002
diabetes_with_complication,422166005
diabetes_with_complication,421895002
diabetes_with_complication,49455004
diabetes_with_complication,713705003
diabetes_with_complication,713706002
diabetes_with_complication,59276001
diabetes_with_complication,60971000119101
diabetes_with_complication,1501000119109
diabetes_with_complication,421893009
diabetes_with_complication,420279001
diabetes_with_complication,4855003
diabetes_with_complication,420789003
diabetes_with_complication,312905005
diabetes_with_complication,399872003
diabetes_with_complication,399873008
diabetes_with_complication,232023006
diabetes_with_complication,82571000119107
diabetes_with_complication,82541000119100
cerebrovascular_disease,29322000
cerebrovascular_disease,288723005
cerebrovascular_disease,291581000119109
cerebrovascular_disease,88032003
cerebrovascular_disease,195210002
cerebrovascular_disease,441630004
cerebrovascular_disease,145741000119101
cerebrovascular_disease,428668000
cerebrovascular_disease,29941000119105
cerebrovascular_disease,111296006
cerebrovascular_disease,64009001
cerebrovascular_disease,88174006
cerebrovascular_disease,106241000119108
cerebrovascular_disease,95454007
cerebrovascular_disease,195212005
cerebrovascular_disease,80606009
cerebrovascular_disease,69798007
cerebrovascular_disease,266254007
cerebrovascular_disease,195200006
cerebrovascular_disease,86003009
cerebrovascular_disease,195213000
cerebrovascular_disease,230724001
cerebrovascular_disease,28366008
cerebrovascular_disease,703311009
cerebrovascular_disease,20059004
cerebrovascular_disease,55382008
cerebrovascular_disease,390936003
cerebrovascular_disease,75543006
cerebrovascular_disease,274100004
cerebrovascular_disease,195185009
cerebrovascular_disease,432504007
cerebrovascular_disease,195230003
cerebrovascular_disease,195190007
cerebrovascular_disease,705128004
cerebrovascular_disease,195186005
cerebrovascular_disease,34181000119102
cerebrovascular_disease,125081000119106
cerebrovascular_disease,195189003
cerebrovascular_disease,705130002
cerebrovascular_disease,287731003
cerebrovascular_disease,71444005
cerebrovascular_disease,703218000
cerebrovascular_disease,230690007
cerebrovascular_disease,62914000
cerebrovascular_disease,609382000
cerebrovascular_disease,49422009
cerebrovascular_disease,302909007
cerebrovascular_disease,473449006
cerebrovascular_disease,371158002
cerebrovascular_disease,371160000
cerebrovascular_disease,713081000
cerebrovascular_disease,133981000119106
cerebrovascular_disease,426033005
cerebrovascular_disease,441529001
cerebrovascular_disease,133991000119109
cerebrovascular_disease,48601000119107
cerebrovascular_disease,442024001
cerebrovascular_disease,442676003
cerebrovascular_disease,442668000
cerebrovascular_disease,32895009
cerebrovascular_disease,363137000
cerebrovascular_disease,50490005
cerebrovascular_disease,230692004
cerebrovascular_disease,195168007
cerebrovascular_disease,195169004
cerebrovascular_disease,250845006
cerebrovascular_disease,1386000
cerebrovascular_disease,297157005
cerebrovascular_disease,230698000
cerebrovascular_disease,195239002
cerebrovascular_disease,22811006
cerebrovascular_disease,195209007
cerebrovascular_disease,425642008
cerebrovascular_disease,427065003
cerebrovascular_disease,441887006
cerebrovascular_disease,441894009
cerebrovascular_disease,442181008
cerebrovascular_disease,442097001
cerebrovascular_disease,69116000
cerebrovascular_disease,73192008
cerebrovascular_disease,425957003
cerebrovascular_disease,195176009
cerebrovascular_disease,42970005
cerebrovascular_disease,397809001
cerebrovascular_disease,195233001
cerebrovascular_disease,195235008
cerebrovascular_disease,195232006
cerebrovascular_disease,195234007
cerebrovascular_disease,425882004
cerebrovascular_disease,430959006
cerebrovascular_disease,430947007
cerebrovascular_disease,361000119103
cerebrovascular_disease,195211003
cerebrovascular_disease,450886002
cerebrovascular_disease,266253001
cerebrovascular_disease,230699008
cerebrovascular_disease,230700009
cerebrovascular_disease,442212003
cerebrovascular_disease,700467001
cerebrovascular_disease,441735003
cerebrovascular_disease,1131000119105
cerebrovascular_disease,195243003
cerebrovascular_disease,195241001
cerebrovascular_disease,195240000
cerebrovascular_disease,441960006
cerebrovascular_disease,142851000119103
cerebrovascular_disease,291571000119106
cerebrovascular_disease,291541000119104
cerebrovascular_disease,291531000119108
cerebrovascular_disease,291521000119105
cerebrovascular_disease,738779002
cerebrovascular_disease,270907008
cerebrovascular_disease,21454007
cerebrovascular_disease,195155004
cerebrovascular_disease,195160000
cerebrovascular_disease,15258001
cerebrovascular_disease,20908003
cerebrovascular_disease,35486000
cerebrovascular_disease,87224000
cerebrovascular_disease,266257000
cerebrovascular_disease,230736007
cerebrovascular_disease,65084004
cerebrovascular_disease,34781003
cerebrovascular_disease,64775002
cerebrovascular_disease,195199008
cerebrovascular_disease,26021000119107
cerebrovascular_disease,87551000119101
cerebrovascular_disease,148871000119109
cerebrovascular_disease,40161000119102
aids_hiv,713897006
aids_hiv,713571008
aids_hiv,713484001
aids_hiv,397763006
aids_hiv,86406008
aids_hiv,186708007
aids_hiv,713722001
aids_hiv,713490002
aids_hiv,713572001
aids_hiv,442537007
aids_hiv,713880000
chronic_pulmonary_disease,708038006
chronic_pulmonary_disease,445378003
chronic_pulmonary_disease,195951007
chronic_pulmonary_disease,1751000119100
chronic_pulmonary_disease,293241000119100
chronic_pulmonary_disease,708094006
chronic_pulmonary_disease,135181000119109
chronic_pulmonary_disease,135171000119106
chronic_pulmonary_disease,708090002
chronic_pulmonary_disease,708095007
chronic_pulmonary_disease,708096008
chronic_pulmonary_disease,707981009
chronic_pulmonary_disease,707980005
chronic_pulmonary_disease,707979007
chronic_pulmonary_disease,733858005
chronic_pulmonary_disease,389145006
chronic_pulmonary_disease,90623003
chronic_pulmonary_disease,22607003
chronic_pulmonary_disease,10692681000119108
chronic_pulmonary_disease,407674008
chronic_pulmonary_disease,195967001
chronic_pulmonary_disease,266356006
chronic_pulmonary_disease,67242002
chronic_pulmonary_disease,14700006
chronic_pulmonary_disease,8247009
chronic_pulmonary_disease,69339004
chronic_pulmonary_disease,12295008
chronic_pulmonary_disease,32398004
chronic_pulmonary_disease,278976004
chronic_pulmonary_disease,85761009
chronic_pulmonary_disease,78723001
chronic_pulmonary_disease,68328006
chronic_pulmonary_disease,233678006
chronic_pulmonary_disease,195949008
chronic_pulmonary_disease,737180005
chronic_pulmonary_disease,63480004
chronic_pulmonary_disease,195957006
chronic_pulmonary_disease,79955004
chronic_pulmonary_disease,196053000
chronic_pulmonary_disease,13645005
chronic_pulmonary_disease,196001008
chronic_pulmonary_disease,133971000119108
chronic_pulmonary_disease,87837008
chronic_pulmonary_disease,196049002
chronic_pulmonary_disease,846635004
chronic_pulmonary_disease,29422001
chronic_pulmonary_disease,409663006
chronic_pulmonary_disease,430476004
chronic_pulmonary_disease,445928005
chronic_pulmonary_disease,57686001
chronic_pulmonary_disease,185086009
chronic_pulmonary_disease,425969006
chronic_pulmonary_disease,707440005
chronic_pulmonary_disease,37471005
chronic_pulmonary_disease,18690003
chronic_pulmonary_disease,71193007
chronic_pulmonary_disease,13151001
chronic_pulmonary_disease,17385007
chronic_pulmonary_disease,48347002
chronic_pulmonary_disease,424643009
chronic_pulmonary_disease,266361008
chronic_pulmonary_disease,233679003
chronic_pulmonary_disease,25897000
chronic_pulmonary_disease,86638007
chronic_pulmonary_disease,427679007
chronic_pulmonary_disease,426979002
chronic_pulmonary_disease,195977004
chronic_pulmonary_disease,195953005
chronic_pulmonary_disease,427295004
chronic_pulmonary_disease,74417001
chronic_pulmonary_disease,52333004
chronic_pulmonary_disease,4981000
